timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.526000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.528000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.530000,-165.441065,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.532000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.534000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.536000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.538000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.540000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.542000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.544000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.546000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.548000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.550000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.552000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.554000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.556000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.558000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.560000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.562000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.564000,-165.441095,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.566000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.568000,-165.441075,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.570000,-165.441065,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.572000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.574000,-165.441075,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.576000,-165.441095,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.578000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.580000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.582000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.584000,-165.441095,208.003989,0.0,0.0,2471.999998
